workload,launch_order,call_id,matrix_size,process,op_index,op_type,family,kernel_name,grid,block,ncu_status,ncu_replay_us,nsys_gpu_us,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,dram_read_bytes,dram_write_bytes,l2_throughput_pct,l2_hit_rate_pct,l1_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,waves_per_sm,registers_per_thread,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
react_tool,24,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Param,"(12, 1, 8)","(128, 1, 1)",profiled,5.92,5.09,10.498818,18.862139,32.330028,0.0,1869824.0,0.0,28.170938,87.322562,18.862139,8.32371,8.333333,0.75,88.0,,,"underutilised: SM 10 %, DRAM 32 %, L2 28 %, occ 8 %"
react_tool,25,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,reduce,"void cublasLt::splitKreduce_kernel<32, 16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, ","(8, 12, 1)","(32, 16, 1)",profiled,3.072,1.73,7.603778,0.0,29.533811,0.0,885504.0,0.0,10.48345,30.552233,13.429817,30.830515,100.0,0.25,38.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
react_tool,26,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Param,"(12, 1, 8)","(128, 1, 1)",profiled,5.984,4.74,10.403542,19.006354,32.102672,0.0,1869824.0,0.0,27.960541,87.222647,19.006354,8.323642,8.333333,0.75,88.0,,,"underutilised: SM 10 %, DRAM 32 %, L2 28 %, occ 8 %"
react_tool,27,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,reduce,"void cublasLt::splitKreduce_kernel<32, 16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, ","(8, 12, 1)","(32, 16, 1)",profiled,3.104,1.63,7.905066,0.0,26.452106,0.0,797440.0,0.0,10.440757,32.436234,13.545288,31.182662,100.0,0.25,38.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
react_tool,28,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *,","(256, 6, 1)","(512, 1, 1)",profiled,3.68,3.04,15.022016,0.0,1.87286,0.0,67200.0,0.0,2.066588,67.909991,13.266371,67.575347,100.0,4.0,29.0,,,"underutilised: SM 15 %, DRAM 2 %, L2 2 %, occ 68 %"
react_tool,29,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *,","(256, 6, 1)","(512, 1, 1)",profiled,3.744,2.88,14.17808,0.0,1.844032,0.0,67072.0,0.0,2.082469,67.152563,13.684746,68.305532,100.0,4.0,29.0,,,"underutilised: SM 14 %, DRAM 2 %, L2 2 %, occ 68 %"
react_tool,30,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(768, 1, 1)","(128, 1, 1)",profiled,3.616,2.34,14.985508,0.0,24.393984,0.0,855296.0,0.0,13.672992,56.520848,11.11258,43.672908,100.0,0.5,16.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,31,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::neg_kernel_cuda(at::TensorIt","(384, 1, 1)","(128, 1, 1)",profiled,3.328,2.02,5.721844,0.0,12.669665,0.0,411008.0,0.0,7.772809,59.971301,4.304611,22.536483,100.0,0.25,16.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
react_tool,32,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 4, 64, 64>(T1 *,","(256, 2, 1)","(512, 1, 1)",profiled,4.832,3.81,30.925213,0.0,16.925262,0.0,793088.0,0.0,10.752023,54.916529,6.059155,83.882008,100.0,1.33,39.0,,,"underutilised: SM 31 %, DRAM 17 %, L2 11 %, occ 84 %"
react_tool,33,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(768, 1, 1)","(128, 1, 1)",profiled,3.488,2.3,13.326249,0.0,25.218901,0.0,855296.0,0.0,16.961053,65.934567,11.245903,43.063165,100.0,0.5,16.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,34,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::BFloat1","(768, 1, 1)","(128, 1, 1)",profiled,4.064,2.46,13.647969,0.0,40.249741,0.0,1592576.0,0.0,15.91793,40.11461,8.948833,42.246876,100.0,0.5,16.0,,,"underutilised: SM 14 %, DRAM 40 %, L2 16 %, occ 42 %"
react_tool,35,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(96, 1, 1)","(128, 1, 1)",profiled,3.392,1.92,2.036787,0.0,5.076182,0.0,167168.0,0.0,3.131195,65.69463,2.057394,8.308901,100.0,0.06,16.0,,,"latency/launch-bound: 0.06 waves per SM, no unit above 30 % of peak"
react_tool,36,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::neg_kernel_cuda(at::TensorIt","(48, 1, 1)","(128, 1, 1)",profiled,3.2,1.79,0.741701,0.0,2.150493,0.0,66944.0,0.0,2.17598,75.773915,1.492808,8.313347,100.0,0.03,16.0,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
react_tool,37,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 4, 64, 64>(T1 *,","(256, 2, 1)","(512, 1, 1)",profiled,3.584,2.66,7.90059,0.0,3.014706,0.0,104960.0,0.0,2.23291,64.425061,6.421197,73.143724,100.0,1.33,39.0,,,"underutilised: SM 8 %, DRAM 3 %, L2 2 %, occ 73 %"
react_tool,38,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(96, 1, 1)","(128, 1, 1)",profiled,3.136,1.86,1.870537,0.0,5.530149,0.0,167168.0,0.0,3.701069,69.325464,2.146824,8.311118,100.0,0.06,16.0,,,"latency/launch-bound: 0.06 waves per SM, no unit above 30 % of peak"
react_tool,39,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::BFloat1","(96, 1, 1)","(128, 1, 1)",profiled,3.296,1.92,2.116106,0.0,6.809762,0.0,216448.0,0.0,3.594678,60.17033,2.050355,8.315231,100.0,0.06,16.0,,,"latency/launch-bound: 0.06 waves per SM, no unit above 30 % of peak"
react_tool,40,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 4, 64, 64>(T1 *,","(256, 2, 1)","(512, 1, 1)",profiled,3.296,2.27,9.066952,0.0,3.285256,0.0,104960.0,0.0,2.34764,65.352438,5.397725,57.872107,100.0,1.33,39.0,,,"underutilised: SM 9 %, DRAM 3 %, L2 2 %, occ 58 %"
react_tool,41,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,concat,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 4, 64, 64>(T1 *,","(256, 2, 1)","(512, 1, 1)",profiled,3.2,2.3,9.010076,0.0,3.371711,0.0,104960.0,0.0,2.277299,63.924659,5.457602,57.490087,100.0,1.33,39.0,,,"underutilised: SM 9 %, DRAM 3 %, L2 2 %, occ 57 %"
react_tool,42,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, 0, 0, cutlass:","(3, 2, 16)","(128, 1, 1)",profiled,10.272,8.86,7.999277,17.068356,10.489252,0.0,1054336.0,0.0,17.945809,88.031865,14.279343,8.313503,8.333333,0.75,242.0,,,"latency/launch-bound: 0.75 waves per SM, no unit above 30 % of peak"
react_tool,43,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,attention,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, 0, 0, ","(768, 1, 1)","(128, 1, 1)",profiled,7.232,3.84,19.759076,0.0,45.061416,0.0,3193088.0,0.0,17.776745,26.290994,5.295652,41.642455,75.0,0.67,54.0,,,"underutilised: SM 20 %, DRAM 45 %, L2 18 %, occ 42 %"
react_tool,44,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,"(32, 3, 1)","(128, 1, 1)",profiled,18.112,16.9,27.148489,39.930713,51.790455,0.0,9189632.0,0.0,57.67108,82.158181,39.930713,8.330974,8.333333,0.75,146.0,,,"underutilised: SM 27 %, DRAM 52 %, L2 58 %, occ 8 %"
react_tool,45,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>","(384, 1, 1)","(128, 1, 1)",profiled,3.648,1.57,1.817361,0.0,44.621672,0.0,1579136.0,0.0,17.529128,36.864171,6.885451,19.096806,100.0,0.25,37.0,,,"underutilised: SM 2 %, DRAM 45 %, L2 18 %, occ 19 %"
react_tool,46,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(768, 1, 1)","(128, 1, 1)",profiled,3.744,2.53,12.673195,0.0,22.454354,0.0,818560.0,0.0,21.625699,70.300208,9.475851,44.666114,100.0,0.5,31.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,47,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(384, 1, 1)","(128, 1, 1)",profiled,3.68,1.66,1.341871,0.0,43.767756,0.0,1577600.0,0.0,20.379833,51.721999,9.706204,17.827131,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 44 %, L2 20 %, occ 18 %"
react_tool,48,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(12, 1, 1)","(32, 16, 1)",profiled,7.552,4.48,0.693744,0.0,21.970274,0.0,1623424.0,0.0,8.632466,25.911324,25.642872,33.26649,100.0,0.03,26.0,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
react_tool,49,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.856,1.06,0.016601,0.0,0.3082,0.0,5504.0,0.0,0.762036,85.502547,78.688525,8.285306,100.0,0.0,32.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,50,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,1.984,1.22,0.025874,0.0,0.373641,0.0,7040.0,0.0,0.884932,87.915408,67.724868,8.152374,100.0,0.0,22.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,51,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(1536, 1, 1)","(128, 1, 1)",profiled,4.032,2.43,10.682836,0.0,40.552935,0.0,1584640.0,0.0,20.681341,52.758912,10.516689,70.928722,100.0,1.0,16.0,,,"underutilised: SM 11 %, DRAM 41 %, L2 21 %, occ 71 %"
react_tool,52,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,copy,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[","(384, 1, 1)","(128, 1, 1)",profiled,3.616,1.54,1.356579,0.0,45.217136,0.0,1577984.0,0.0,17.774389,36.558962,6.887236,17.631456,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 45 %, L2 18 %, occ 18 %"
react_tool,53,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(768, 1, 1)","(128, 1, 1)",profiled,3.712,2.37,12.809178,0.0,22.581336,0.0,810240.0,0.0,14.905321,64.682225,11.431156,43.40679,100.0,0.5,16.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,55,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params,"(24, 22, 2)","(128, 1, 1)",profiled,73.472,79.17,36.72082,39.19315,63.610855,0.0,45911168.0,23808.0,79.100452,91.938463,39.810328,15.658556,16.666667,4.12,88.0,,,DRAM-bandwidth-bound
react_tool,56,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::vectorized_elementwise_kernel<4, at::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lam","(2064, 1, 1)","(128, 1, 1)",profiled,6.752,3.52,18.419923,0.0,64.139947,0.0,4240256.0,0.0,29.535984,51.112965,13.839618,64.654462,100.0,1.34,30.0,,,DRAM-bandwidth-bound
react_tool,58,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params,"(24, 22, 2)","(128, 1, 1)",profiled,73.344,76.22,36.247172,39.164951,63.738844,0.0,45911040.0,17152.0,79.198788,91.935312,39.781684,15.632306,16.666667,4.12,88.0,,,DRAM-bandwidth-bound
react_tool,59,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloa","(2064, 1, 1)","(128, 1, 1)",profiled,10.816,3.9,3.300026,0.0,79.936629,0.0,8460416.0,128.0,31.42269,34.103738,9.555354,56.01227,100.0,1.34,37.0,,,DRAM-bandwidth-bound
react_tool,61,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params,"(24, 4, 9)","(128, 1, 1)",profiled,74.08,71.42,36.528066,39.397869,67.787041,0.0,49350016.0,512.0,78.781559,91.351776,40.326835,15.752266,16.666667,3.38,88.0,,,DRAM-bandwidth-bound
react_tool,62,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_other,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>","(384, 1, 1)","(128, 1, 1)",profiled,3.712,1.98,1.869536,0.0,43.810369,0.0,1579136.0,0.0,17.227319,36.817969,6.82956,18.889663,100.0,0.25,37.0,,,"underutilised: SM 2 %, DRAM 44 %, L2 17 %, occ 19 %"
react_tool,63,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(768, 1, 1)","(128, 1, 1)",profiled,3.968,2.53,12.919756,0.0,24.144108,0.0,931584.0,0.0,20.288719,67.617349,9.643675,43.851326,100.0,0.5,31.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,64,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(384, 1, 1)","(128, 1, 1)",profiled,3.68,1.63,1.34347,0.0,44.270833,0.0,1577600.0,0.0,20.591818,51.720596,9.717766,18.169146,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 44 %, L2 21 %, occ 18 %"
react_tool,65,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(12, 1, 1)","(32, 16, 1)",profiled,7.328,4.64,0.697621,0.0,22.596565,0.0,1623424.0,0.0,8.87046,25.794081,25.454564,33.266776,100.0,0.03,26.0,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
react_tool,66,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.856,1.06,0.016499,0.0,0.311053,0.0,5504.0,0.0,0.719955,89.517717,77.497477,8.269215,100.0,0.0,32.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,67,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,1.952,1.15,0.025652,0.0,0.372024,0.0,7040.0,0.0,0.960518,80.117363,67.338886,8.134225,100.0,0.0,22.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,68,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(1536, 1, 1)","(128, 1, 1)",profiled,3.872,2.5,11.164655,0.0,45.084423,0.0,1695232.0,0.0,21.513561,51.327998,10.177698,69.349177,100.0,1.0,16.0,,,"underutilised: SM 11 %, DRAM 45 %, L2 22 %, occ 69 %"
react_tool,69,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,copy,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[","(384, 1, 1)","(128, 1, 1)",profiled,3.712,1.5,1.314317,0.0,44.082523,0.0,1577984.0,128.0,17.331323,36.551619,7.072627,17.888144,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 44 %, L2 17 %, occ 18 %"
react_tool,70,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(768, 1, 1)","(128, 1, 1)",profiled,3.68,2.88,12.784031,0.0,22.636585,0.0,810368.0,0.0,14.972074,64.571032,10.98374,43.100717,100.0,0.5,16.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,71,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params,"(24, 4, 1)","(128, 1, 1)",profiled,17.504,17.34,28.477043,41.416509,53.655773,0.0,9212928.0,0.0,60.047555,91.042797,41.426621,8.330689,16.666667,0.38,88.0,,,tensor-core compute-bound
react_tool,72,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Param,"(12, 1, 8)","(128, 1, 1)",profiled,6.016,5.31,10.345361,18.605813,31.878492,0.0,1869824.0,0.0,27.800314,87.19522,18.605813,8.32384,8.333333,0.75,88.0,,,"underutilised: SM 10 %, DRAM 32 %, L2 28 %, occ 8 %"
react_tool,73,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,reduce,"void cublasLt::splitKreduce_kernel<32, 16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, ","(8, 12, 1)","(32, 16, 1)",profiled,2.944,2.05,7.941307,0.0,27.972342,0.0,797440.0,0.0,11.027915,33.835146,14.139569,31.628614,100.0,0.25,38.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
react_tool,74,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Param,"(12, 1, 8)","(128, 1, 1)",profiled,5.984,4.7,10.341084,18.53074,31.967787,0.0,1869824.0,0.0,28.431424,87.108736,18.53074,8.323883,8.333333,0.75,88.0,,,"underutilised: SM 10 %, DRAM 32 %, L2 28 %, occ 8 %"
react_tool,75,plan,768,mir_operator:prefill_layer01,2,prefill_layer01,reduce,"void cublasLt::splitKreduce_kernel<32, 16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, ","(8, 12, 1)","(32, 16, 1)",profiled,3.008,1.66,7.779745,0.0,27.34375,0.0,797440.0,0.0,10.773887,32.454323,14.188238,31.829504,100.0,0.25,38.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
